"targetName","comparatorName","outcomeName","db","logRr","seLogRr","rr","ci95lb","ci95ub"
"Doxepin","Amitriptyline","Open-angle glaucoma","CCAE",-0.303289187870335,1.33893606049362,0.738385533352177,0.0572960720452471,10.9026917036046
"Psychotherapy","Trazodone","Open-angle glaucoma","CCAE",-0.542266085530746,0.48841698404195,0.581429190109638,0.2117384067893,1.43642257533211
"Psychotherapy","Fluoxetine","Open-angle glaucoma","CCAE",-0.0299836740282317,0.438491352965105,0.970461377144222,0.40358234118195,2.2512368447556
"duloxetine","vilazodone","Open-angle glaucoma","CCAE",-0.189712472077698,0.737822515443664,0.827196941971559,0.195573383525824,3.52680198766791
"Escitalopram","Sertraline","Open-angle glaucoma","CCAE",0.137887822895566,0.296925836895427,1.14784678092361,0.643564291064024,2.06100668250967
"Bupropion","Nortriptyline","Open-angle glaucoma","CCAE",-0.112185763500795,0.691445638641331,0.893878192134138,0.232986269609689,3.50307565835419
"Fluoxetine","Nortriptyline","Open-angle glaucoma","CCAE",-0.837498945564124,0.745255202509255,0.432791606308743,0.101609951375945,1.88651820476696
"Mirtazapine","Paroxetine","Open-angle glaucoma","CCAE",0.140893639168761,1.12310795352425,1.15130218801466,0.128325441865092,10.478405832498
"Psychotherapy","duloxetine","Open-angle glaucoma","CCAE",0.752338808647529,0.596145477771402,2.12195706909736,0.666327813462575,6.89553302878089
"Escitalopram","duloxetine","Open-angle glaucoma","CCAE",0.334570768507369,0.353468518549555,1.39734047394393,0.673218245022908,2.69092612017322
"Bupropion","duloxetine","Open-angle glaucoma","CCAE",0.0152047519436247,0.403742728477262,1.01532093226862,0.464038489481782,2.25884729101957
"Electroconvulsive therapy","Nortriptyline","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Citalopram","vilazodone","Open-angle glaucoma","CCAE",-0.603267023091368,0.839915684061289,0.547021581473156,0.106019435918293,2.85272916453134
"duloxetine","Doxepin","Open-angle glaucoma","CCAE",0.259257287778916,1.25626282546135,1.29596719845919,0.120349976030309,16.5619595475374
"Nortriptyline","Sertraline","Open-angle glaucoma","CCAE",0.0276506785415888,0.638892521698783,1.02803650647905,0.298715347010995,3.65519151279431
"Doxepin","Sertraline","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Sertraline","duloxetine","Open-angle glaucoma","CCAE",0.420434385248319,0.369085148050076,1.52262281687757,0.755385622594017,3.20996583277661
"Fluoxetine","Desvenlafaxine","Open-angle glaucoma","CCAE",-0.424852070064321,0.666255231973856,0.653866504405772,0.177291074537633,2.41502613785384
"Escitalopram","vilazodone","Open-angle glaucoma","CCAE",0.18032619943147,0.795946486269033,1.19760795844753,0.238048214062049,5.39121538129106
"Citalopram","venlafaxine","Open-angle glaucoma","CCAE",0.0888846390370987,0.396110088130358,1.09295456476245,0.504823170929057,2.38494471957149
"Electroconvulsive therapy","Paroxetine","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Doxepin","Electroconvulsive therapy","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Fluoxetine","Amitriptyline","Open-angle glaucoma","CCAE",0.300614332832521,0.76745031560664,1.35068832493455,0.305426978895712,6.18610350628159
"Escitalopram","Paroxetine","Open-angle glaucoma","CCAE",-0.436475062658129,0.810826112661899,0.646310614954019,0.131906091008949,3.16677878705516
"Paroxetine","duloxetine","Open-angle glaucoma","CCAE",0.328638628420177,0.850295782331306,1.3890757923638,0.265211666184912,7.43256623696947
"Electroconvulsive therapy","venlafaxine","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Fluoxetine","Doxepin","Open-angle glaucoma","CCAE",0.705462538260604,1.35989980070717,2.02478300797364,0.150063735775779,31.0008335854803
"Psychotherapy","Doxepin","Open-angle glaucoma","CCAE",0.207299331860473,1.57271905689016,1.23035079986076,0.0569096467140397,27.0761970537586
"Bupropion","Electroconvulsive therapy","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Fluoxetine","duloxetine","Open-angle glaucoma","CCAE",-0.0284985898078413,0.52755153906037,0.971903664716097,0.300049394901166,2.37300210587641
"Fluoxetine","Bupropion","Open-angle glaucoma","CCAE",-0.438171561668314,0.43141138431012,0.645215079185906,0.27765424357744,1.50640027969944
"Citalopram","Escitalopram","Open-angle glaucoma","CCAE",-0.179636391298567,0.372276434238739,0.835573978150957,0.405084563154771,1.74305160141799
"Desvenlafaxine","Citalopram","Open-angle glaucoma","CCAE",-0.166176458599199,0.561993780614313,0.846896778784191,0.283124507278876,2.56281590287602
"Bupropion","venlafaxine","Open-angle glaucoma","CCAE",0.0151555282901814,0.344846555565319,1.01527095569295,0.518094128367836,2.00205733624597
"vilazodone","venlafaxine","Open-angle glaucoma","CCAE",-0.135165551970657,0.778898412832539,0.873571278269564,0.191231449875727,4.05096396335653
"Electroconvulsive therapy","Fluoxetine","Open-angle glaucoma","CCAE",NA,NA,NA,NA,NA
"Paroxetine","Trazodone","Open-angle glaucoma","CCAE",0.241789842756678,0.920506515742414,1.27352652386734,0.210936381436245,7.78439069768009
"vilazodone","Desvenlafaxine","Open-angle glaucoma","CCAE",0.331134899067033,0.99309606508183,1.39254763301463,0.199778385272082,9.79937336275896
"Desvenlafaxine","Doxepin","Open-angle glaucoma","CCAE",1.38704203441799,1.41946223576042,4.00299181150179,0.266332750232336,69.4898645246652
"Psychotherapy","Escitalopram","Open-angle glaucoma","CCAE",-0.871722608354094,0.305725763706744,0.418230481046305,0.230083921509891,0.762701770498976
"Trazodone","Citalopram","Open-angle glaucoma","CCAE",-0.0569673491060747,0.431425748940568,0.944624911710797,0.407779164774003,2.21251161129935
"venlafaxine","Fluoxetine","Open-angle glaucoma","CCAE",0.253645009386987,0.449311627727397,1.28871424159876,0.535893804911162,3.11880511858426
"Desvenlafaxine","Escitalopram","Open-angle glaucoma","CCAE",-0.469692030160556,0.532378739775689,0.625194779773261,0.220860834093748,1.78008982478356
"Fluoxetine","Sertraline","Open-angle glaucoma","CCAE",-0.481186853330841,0.413165157481839,0.618049422319728,0.275424648362708,1.39115795320099
"Psychotherapy","venlafaxine","Open-angle glaucoma","CCAE",-0.47113947278202,0.39202898076369,0.624290500806138,0.28615345380182,1.33042482175564
"Fluoxetine","Citalopram","Open-angle glaucoma","CCAE",-0.388331359301598,0.433133771025035,0.678187582264225,0.290184097078618,1.58504602298872
"Fluoxetine","Mirtazapine","Open-angle glaucoma","CCAE",-0.743850428299384,0.546712332260175,0.475280354860942,0.16417707454371,1.39970745133863
"venlafaxine","Trazodone","Open-angle glaucoma","CCAE",-0.190248815896489,0.410711238936126,0.826753398961219,0.371188004490687,1.85690640263223
